bvalue = 25.704069, label = 0
bvalue = 79762.725193, label = 0
bvalue = 17848.495591, label = 1
bvalue = 1233.644548, label = 1
bvalue = 154.822175, label = 1
bvalue = 0.365295, label = 0
bvalue = 1711.679811, label = 0
bvalue = 987.254350, label = 0
bvalue = 0.767238, label = 1
bvalue = 81.265359, label = 0
bvalue = 61558.907084, label = 0
bvalue = 0.434568, label = 1
bvalue = 1.007546, label = 1
bvalue = 1695.071315, label = 0
bvalue = 66.403682, label = 0
bvalue = 204.493871, label = 0
bvalue = 352.366190, label = 1
bvalue = 41.806585, label = 1
bvalue = 41.093096, label = 1
bvalue = 2.546028, label = 1
bvalue = 161.091089, label = 1
bvalue = 129122202037917.640625, label = 1
bvalue = 0.883888, label = 1
bvalue = 1.413191, label = 1
bvalue = 1168356.689621, label = 0
bvalue = 369.444556, label = 1
bvalue = 2.059514, label = 1
bvalue = 597.717695, label = 1
bvalue = 11.672315, label = 0
bvalue = 93.224319, label = 0
bvalue = 158.548692, label = 1
bvalue = 5.471260, label = 1
bvalue = 721.866560, label = 0
bvalue = 25.394098, label = 1
bvalue = 0.957630, label = 1
bvalue = 15.555491, label = 1
bvalue = 25.755613, label = 0
bvalue = 3621268.198537, label = 0
bvalue = 37799.449150, label = 0
bvalue = 904.250230, label = 1
bvalue = 14470.517431, label = 0
bvalue = 152.548153, label = 1
bvalue = 6486.454714, label = 1
bvalue = 723083425136.773315, label = 0
bvalue = 6951.611178, label = 1
bvalue = 2.059943, label = 1
bvalue = 134.771187, label = 1
bvalue = 437035438.065967, label = 0
bvalue = 2423648.006145, label = 1
bvalue = 857681.052031, label = 1
bvalue = 0.400675, label = 0
bvalue = 6.082723, label = 0
bvalue = 19.725031, label = 0
bvalue = 66.130933, label = 1
bvalue = 25941.436734, label = 1
bvalue = 0.958658, label = 1
bvalue = 2310.086675, label = 0
bvalue = 1.012758, label = 1
bvalue = 232.388808, label = 0
bvalue = 3744.885243, label = 1
bvalue = 2.056355, label = 0
bvalue = 187.750294, label = 1
bvalue = 0.901322, label = 1
bvalue = 3.785212, label = 0
bvalue = 86897.273054, label = 0
bvalue = 7.742849, label = 0
bvalue = 6.602493, label = 0
bvalue = 66121.943109, label = 1
bvalue = 2.027974, label = 1
bvalue = 1.930470, label = 0
bvalue = 11.956168, label = 0
bvalue = 1159.414108, label = 0
bvalue = 187.038291, label = 0
bvalue = 8165972.398114, label = 1
bvalue = 98.228431, label = 1
bvalue = 785.498442, label = 0
bvalue = 106.397441, label = 1
bvalue = 18404.035627, label = 0
bvalue = 83.818406, label = 1
bvalue = 482.676209, label = 1
bvalue = 0.836219, label = 0
bvalue = 0.800753, label = 0
bvalue = 39588.837167, label = 0
bvalue = 1.203784, label = 0
bvalue = 3063.268102, label = 1
bvalue = 95.770143, label = 1
bvalue = 13.311352, label = 1
bvalue = 19.383886, label = 1
bvalue = 68.082789, label = 0
bvalue = 0.576729, label = 0
bvalue = 1143087.789691, label = 1
bvalue = 1981.398788, label = 1
bvalue = 3110.589040, label = 1
bvalue = 194362.604255, label = 1
bvalue = 2.769830, label = 1
bvalue = 642920326472155.250000, label = 0
bvalue = 1.483189, label = 1
bvalue = 5.372973, label = 0
bvalue = 57.044027, label = 1
bvalue = 80.396169, label = 1
bvalue = 319600535.132012, label = 1
bvalue = 8.645434, label = 0
bvalue = 5686954.990229, label = 1
bvalue = 40.050882, label = 1
bvalue = 67.288691, label = 1
bvalue = 591.407654, label = 0
bvalue = 6.563240, label = 0
bvalue = 1166.892821, label = 1
bvalue = 4.340290, label = 1
bvalue = 0.479329, label = 1
bvalue = 20.804089, label = 1
bvalue = 3173.460563, label = 0
bvalue = 74.364370, label = 1
bvalue = 25.106978, label = 0
bvalue = 1.733524, label = 1
bvalue = 5.112311, label = 0
bvalue = 53.692665, label = 0
bvalue = 371.973217, label = 1
bvalue = 35.426965, label = 1
bvalue = 924.413647, label = 0
bvalue = 829.400542, label = 0
bvalue = 4369.844833, label = 1
bvalue = 0.132109, label = 1
bvalue = 118.191766, label = 0
bvalue = 529459.289214, label = 1
bvalue = 112.108415, label = 0
bvalue = 29.591464, label = 0
bvalue = 41.115547, label = 0
bvalue = 92889.272609, label = 1
bvalue = 2689970.081906, label = 0
bvalue = 2.199336, label = 1
bvalue = 1816437.411369, label = 0
bvalue = 10.747431, label = 0
bvalue = 3.219861, label = 0
bvalue = 23.765391, label = 0
bvalue = 1.701088, label = 0
bvalue = 641.152763, label = 0
bvalue = 1270750786.375092, label = 1
bvalue = 34.529840, label = 0
bvalue = 108.156793, label = 0
bvalue = 1429311.072540, label = 1
bvalue = 11357.137163, label = 0
bvalue = 9335.105070, label = 0
bvalue = 5683.565082, label = 1
bvalue = 1.167792, label = 0
bvalue = 14702.555897, label = 0
bvalue = 1.613873, label = 0
bvalue = 127.752932, label = 0
bvalue = 653.887538, label = 1
bvalue = 4445142.136377, label = 1
bvalue = 230116.298596, label = 0
bvalue = 14.064417, label = 1
bvalue = 23246.764215, label = 1
bvalue = 24749.737354, label = 0
bvalue = 410524.216550, label = 0
bvalue = 85.845940, label = 1
bvalue = 92.709090, label = 1
bvalue = 2.945913, label = 1
bvalue = 17113.036383, label = 0
bvalue = 6.825119, label = 0
bvalue = 11.269909, label = 1
bvalue = 16813.261977, label = 0
bvalue = 14.012361, label = 0
bvalue = 26766.530028, label = 0
bvalue = 34.327790, label = 1
bvalue = 1.822553, label = 0
bvalue = 174.035227, label = 0
bvalue = 0.609697, label = 0
bvalue = 1.678840, label = 0
bvalue = 0.726041, label = 0
bvalue = 132746.166007, label = 1
bvalue = 460.755178, label = 0
bvalue = 0.219007, label = 0
bvalue = 0.219007, label = 0
bvalue = 0.736458, label = 1
bvalue = 15519696.260565, label = 1
bvalue = 3473.703339, label = 0
bvalue = 10170.160120, label = 1
bvalue = 669360.203471, label = 0
bvalue = 12062.726258, label = 1
bvalue = 89.110479, label = 1
bvalue = 1760009.616926, label = 1
bvalue = 620481.985107, label = 0
bvalue = 1.153458, label = 0
bvalue = 32689509.696307, label = 1
bvalue = 47.886790, label = 0
bvalue = 0.906618, label = 1
bvalue = 106720.762921, label = 0
bvalue = 3377710.636887, label = 0
bvalue = 0.773624, label = 0
bvalue = 791.017189, label = 0
bvalue = 17022.032959, label = 1
bvalue = 525.172191, label = 1
bvalue = 287612.693844, label = 0
bvalue = 2038.780522, label = 1
bvalue = 205.280150, label = 0
bvalue = 952.335293, label = 1
bvalue = 28.393505, label = 0
bvalue = 38695715.933872, label = 0
bvalue = 4.098361, label = 0
bvalue = 1065.454689, label = 0
bvalue = 4524914.859029, label = 0
bvalue = 83.818406, label = 0
bvalue = 1256304.226194, label = 1
bvalue = 151.183404, label = 0
bvalue = 3046499.597547, label = 1
bvalue = 118662.782415, label = 1
bvalue = 511.264007, label = 1
bvalue = 13618.773722, label = 0
bvalue = 25.773550, label = 0
bvalue = 22.716078, label = 0
bvalue = 132.323741, label = 0
bvalue = 20.853359, label = 1
bvalue = 0.568555, label = 1
bvalue = 31.462509, label = 1
bvalue = 0.251495, label = 0
bvalue = 959181.364833, label = 0
bvalue = 23009169.559064, label = 1
bvalue = 43.742661, label = 0
bvalue = 7.110062, label = 0
bvalue = 0.400675, label = 1
bvalue = 226134.238500, label = 1
bvalue = 0.609697, label = 0
bvalue = 1725.016487, label = 1
bvalue = 14.450431, label = 1
bvalue = 1599.682897, label = 1
bvalue = 289041599361661248.000000, label = 1
bvalue = 5803156358.197692, label = 0
bvalue = 0.292385, label = 1
bvalue = 0.253190, label = 0
bvalue = 0.360415, label = 1
bvalue = 64320.076791, label = 1
bvalue = 14.418027, label = 0
bvalue = 0.491792, label = 0
bvalue = 473.293955, label = 1
bvalue = 20.948899, label = 0
bvalue = 3.726452, label = 0
bvalue = 5.697610, label = 0
bvalue = 16833.793510, label = 0
bvalue = 42454.517340, label = 0
bvalue = 168744183.142930, label = 0
bvalue = 10.253533, label = 0
bvalue = 2.289734, label = 0
bvalue = 4.872183, label = 1
bvalue = 1885.092922, label = 0
bvalue = 91.575092, label = 1
bvalue = 346113.759824, label = 0
bvalue = 12.684148, label = 0
bvalue = 0.430239, label = 0
bvalue = 48238.442497, label = 1
bvalue = 4583.653435, label = 0
bvalue = 177.951138, label = 1
bvalue = 0.494675, label = 1
bvalue = 24.350452, label = 1
bvalue = 208.933661, label = 1
bvalue = 3.467172, label = 0
bvalue = 174.741531, label = 0
bvalue = 7419.622052, label = 0
bvalue = 40781.505260, label = 1
bvalue = 0.261971, label = 1
bvalue = 0.517786, label = 0
bvalue = 2347883.823406, label = 0
bvalue = 74.230577, label = 0
bvalue = 1.258982, label = 1
bvalue = 36096.049132, label = 1
bvalue = 4.870472, label = 0
bvalue = 0.190231, label = 1
bvalue = 27.474541, label = 0
bvalue = 68.082789, label = 1
bvalue = 28256.941417, label = 0
bvalue = 52247314.999530, label = 1
bvalue = 16825547.492676, label = 1
bvalue = 0.294134, label = 1
bvalue = 127060287.792463, label = 0
bvalue = 1.625605, label = 1
bvalue = 1.643759, label = 0
bvalue = 1631.792433, label = 1
bvalue = 6.563240, label = 1
bvalue = 37.225743, label = 1
bvalue = 0.204345, label = 0
bvalue = 27758.227076, label = 1
bvalue = 1.299399, label = 1
bvalue = 429366.993482, label = 0
bvalue = 31757503.673441, label = 1
bvalue = 54.220498, label = 0
bvalue = 1.588844, label = 1
bvalue = 365.862346, label = 0
bvalue = 2986.287177, label = 1
bvalue = 9789.865671, label = 0
bvalue = 17.699655, label = 0
bvalue = 7.742625, label = 0
bvalue = 107330.812723, label = 1
bvalue = 61412.610135, label = 0
bvalue = 391.544290, label = 1
bvalue = 35176.344472, label = 1
bvalue = 7936.196269, label = 1
bvalue = 0.112266, label = 1
bvalue = 26.789608, label = 0
bvalue = 9434.496292, label = 0
bvalue = 225.468864, label = 0
bvalue = 303695.388277, label = 0
bvalue = 1414772.393765, label = 0
bvalue = 782.182497, label = 1
bvalue = 28.050118, label = 1
bvalue = 12013.290815, label = 0
bvalue = 1515.246964, label = 0
bvalue = 4.215625, label = 1
bvalue = 6.864885, label = 1
bvalue = 32421154.878828, label = 1
bvalue = 11.126932, label = 1
bvalue = 96664.808221, label = 1
bvalue = 72789.702841, label = 1
bvalue = 0.362570, label = 1
bvalue = 191381705.374091, label = 1
bvalue = 2571.111817, label = 0
bvalue = 6429003.989723, label = 1
bvalue = 37.956964, label = 0
bvalue = 81.965615, label = 1
bvalue = 1681.711835, label = 0
bvalue = 17132675.438596, label = 0
bvalue = 780829.369460, label = 1
bvalue = 5.212786, label = 1
bvalue = 439070.782343, label = 0
bvalue = 1.954625, label = 0
bvalue = 234.914979, label = 0
bvalue = 9794.576839, label = 0
bvalue = 21.806175, label = 1
bvalue = 272.432403, label = 1
bvalue = 0.763478, label = 1
bvalue = 0.139318, label = 1
bvalue = 14.123030, label = 1
bvalue = 0.141204, label = 0
bvalue = 4.977317, label = 1
bvalue = 12.676016, label = 1
bvalue = 383.141762, label = 1
bvalue = 0.266654, label = 0
bvalue = 3621268.198537, label = 0
bvalue = 72627.750606, label = 1
bvalue = 23.853933, label = 1
bvalue = 270.259959, label = 1
bvalue = 5328.584751, label = 0
bvalue = 2.528308, label = 0
bvalue = 7041.759733, label = 1
bvalue = 544.582281, label = 0
bvalue = 6345.619298, label = 1
bvalue = 851.002422, label = 0
bvalue = 0.173969, label = 1
bvalue = 838.983773, label = 0
bvalue = 1.103049, label = 1
bvalue = 16863213.014144, label = 1
bvalue = 0.966382, label = 0
bvalue = 823.042568, label = 1
bvalue = 18043.972720, label = 0
bvalue = 5.441186, label = 0
bvalue = 349628.653263, label = 1
bvalue = 0.459629, label = 1
bvalue = 3898756411.136426, label = 1
bvalue = 76423.616664, label = 0
bvalue = 5.095122, label = 0
bvalue = 28.525681, label = 0
bvalue = 322501663463.580139, label = 0
bvalue = 1.179553, label = 0
bvalue = 14642.966734, label = 1
bvalue = 1178.175339, label = 1
bvalue = 101.040833, label = 0
bvalue = 1574681.680023, label = 0
bvalue = 2.130785, label = 1
bvalue = 87476.860347, label = 0
bvalue = 27217.380214, label = 1
bvalue = 837.767914, label = 1
bvalue = 55160976.918168, label = 1
bvalue = 0.219007, label = 0
bvalue = 14.084507, label = 1
bvalue = 443.655723, label = 1
bvalue = 4.869562, label = 1
bvalue = 0.386548, label = 0
bvalue = 24.700764, label = 0
bvalue = 464.777615, label = 1
bvalue = 72936.766216, label = 1
bvalue = 13579.319420, label = 1
bvalue = 1.854025, label = 1
bvalue = 15.143909, label = 1
bvalue = 870100.867602, label = 1
bvalue = 4940.731885, label = 1
bvalue = 1185312.302406, label = 1
bvalue = 15715071.835208, label = 0
bvalue = 14.200915, label = 0
bvalue = 2.091442, label = 1
bvalue = 196278.051730, label = 1
bvalue = 14.074889, label = 1
bvalue = 12676.093572, label = 1
bvalue = 938139.646878, label = 1
bvalue = 0.796668, label = 0
bvalue = 15367947.018911, label = 0
bvalue = 1630.338359, label = 1
bvalue = 5232.270163, label = 0
bvalue = 22.904355, label = 1
bvalue = 0.581796, label = 0
bvalue = 12.665732, label = 0
bvalue = 15331.510932, label = 0
bvalue = 1.078490, label = 1
bvalue = 5.808516, label = 0
bvalue = 1101.022486, label = 0
bvalue = 182414.970349, label = 1
bvalue = 17.061303, label = 1
bvalue = 396.609670, label = 1
bvalue = 4991.206699, label = 1
bvalue = 104421519.529769, label = 1
bvalue = 4.970525, label = 1
bvalue = 112502.796548, label = 1
bvalue = 6.711030, label = 0
bvalue = 14.907348, label = 0
bvalue = 4835.004826, label = 0
bvalue = 887.830627, label = 1
bvalue = 0.386548, label = 1
bvalue = 35.038779, label = 1
bvalue = 699.300699, label = 1
bvalue = 2.865812, label = 0
bvalue = 0.073183, label = 0
bvalue = 3.242319, label = 1
bvalue = 7.961390, label = 0
bvalue = 0.627144, label = 0
bvalue = 370.781935, label = 0
bvalue = 1096.716715, label = 0
bvalue = 3.315961, label = 0
bvalue = 6389659.245071, label = 0
bvalue = 0.299043, label = 0
bvalue = 90932.925350, label = 0
bvalue = 48326.097522, label = 1
bvalue = 97.060683, label = 0
bvalue = 3.553374, label = 1
bvalue = 6.422558, label = 0
bvalue = 0.609697, label = 0
bvalue = 140.140770, label = 0
bvalue = 14.200915, label = 0
bvalue = 0.322012, label = 1
bvalue = 29691.647589, label = 0
bvalue = 1127.379891, label = 1
bvalue = 46056.914256, label = 0
bvalue = 47959561.185130, label = 0
bvalue = 1243.028166, label = 1
bvalue = 111.236528, label = 0
bvalue = 2.120773, label = 1
bvalue = 1581.311439, label = 0
bvalue = 5495.560746, label = 1
bvalue = 15.072552, label = 0
bvalue = 166932.164631, label = 0
bvalue = 7991900004.372240, label = 1
bvalue = 6.272080, label = 1
bvalue = 1.682002, label = 0
bvalue = 0.948650, label = 0
bvalue = 0.311253, label = 0
bvalue = 3.427248, label = 1
bvalue = 15.486277, label = 1
bvalue = 2525.299205, label = 0
bvalue = 81.968396, label = 1
bvalue = 1095530.662474, label = 1
bvalue = 34.087185, label = 0
bvalue = 0.169429, label = 0
bvalue = 150996701299585.000000, label = 1
bvalue = 9007.061536, label = 0
bvalue = 64.899138, label = 1
bvalue = 694.366332, label = 1
bvalue = 386.317667, label = 0
bvalue = 53681.002461, label = 0
bvalue = 4.339132, label = 1
bvalue = 53.187050, label = 1
bvalue = 44.890010, label = 0
bvalue = 2653.454595, label = 1
bvalue = 61.016060, label = 0
bvalue = 3429.221066, label = 0
bvalue = 13.344097, label = 0
bvalue = 0.166648, label = 0
bvalue = 0.520826, label = 1
bvalue = 24194739.327931, label = 0
bvalue = 1.065119, label = 1
bvalue = 1.577287, label = 0
bvalue = 1.505960, label = 1
bvalue = 0.326759, label = 0
bvalue = 0.511776, label = 1
bvalue = 4723.087345, label = 1
bvalue = 0.386548, label = 0
bvalue = 402.836214, label = 1
bvalue = 0.652966, label = 0
bvalue = 357.803204, label = 1
bvalue = 3.504895, label = 0
bvalue = 33.211715, label = 0
bvalue = 561.341986, label = 0
bvalue = 5554.189225, label = 1
bvalue = 1.981752, label = 0
bvalue = 0.245896, label = 0
bvalue = 312.246111, label = 1
bvalue = 2098786.720545, label = 1
bvalue = 148.308438, label = 1
bvalue = 1.697377, label = 0
bvalue = 90018.201129, label = 0
bvalue = 87.678399, label = 0
bvalue = 0.503773, label = 0
bvalue = 0.636132, label = 0
bvalue = 139.796552, label = 0
bvalue = 1030634784.372905, label = 0
bvalue = 473.286330, label = 0
bvalue = 8555.363869, label = 1
bvalue = 53.002549, label = 0
bvalue = 26.845710, label = 0
bvalue = 1.249914, label = 1
bvalue = 16.440391, label = 1
bvalue = 358395.217348, label = 1
bvalue = 122.291484, label = 0
bvalue = 1137.258227, label = 1
bvalue = 1067159.019098, label = 1
bvalue = 0.776259, label = 0
bvalue = 1218.509467, label = 1
bvalue = 25.461224, label = 0
bvalue = 63.916248, label = 1
bvalue = 16216.396342, label = 1
bvalue = 776.184100, label = 1
bvalue = 2.851431, label = 1
bvalue = 67629.991886, label = 1
bvalue = 47992525.685971, label = 0
bvalue = 134.277626, label = 1
bvalue = 1.016285, label = 0
bvalue = 3085663.347006, label = 1
bvalue = 0.166648, label = 0
bvalue = 151688183.269278, label = 1
bvalue = 41563098.492830, label = 1
bvalue = 13.101268, label = 1
bvalue = 121.653211, label = 1
bvalue = 0.470265, label = 0
bvalue = 1380.804158, label = 1
bvalue = 1825.779626, label = 1
bvalue = 1.000000, label = 0
bvalue = 52.032688, label = 0
bvalue = 19752.507751, label = 1
bvalue = 465.021553, label = 1
bvalue = 8830.188183, label = 1
bvalue = 1722.863888, label = 1
bvalue = 170265.730970, label = 0
bvalue = 1888837061279.300293, label = 1
bvalue = 2.034794, label = 1
bvalue = 238.658459, label = 0
bvalue = 9306.817115, label = 1
bvalue = 2.966378, label = 0
bvalue = 8284.366140, label = 1
bvalue = 914085.096537, label = 1
bvalue = 58.823529, label = 0
bvalue = 0.901265, label = 0
bvalue = 4.715346, label = 0
bvalue = 799.150133, label = 1
bvalue = 137.919225, label = 0
bvalue = 665.953446, label = 0
bvalue = 5.624026, label = 1
