可是當時我的中文還不太好的 可是當時我的中文還是不太好的
對我來說雖然是不容易學好的語言 對我來說雖然不容易學好的語言
所以我們沒那麼好好說明 所以我們沒那麼好好說明了
然後到樓上去一邊喝咖啡 然後樓上去一邊喝咖啡
聽說這本書的作者現在在當一所著名大學的老師 聽說這本書的作者現在當一所著名大學的老師
也說一樣的話 也說一樣的
每次去都喝一樣的 每次去喝一樣的
我覺得最好的辦法是你跟他一起跳舞 我覺得最好的辦法是你跟他一起
可是念完這本書以後 可是念這本書以後
因為他的家有三本這種書 因為他的家有三本書這種書
所以她說如果我要帶這本書回家可以 所以她說如果我要帶這本書回家了可以
雖然習慣成自然以後相當難改正 雖然習慣成自然以後相當難以改正
但是這幾天我發現你有一些生活上不好的習慣 但是這幾天我發現到你有一些生活上不好的習慣
你就可以問別人還是自己到圖書館找資料 你就可以問別人還是自己到圖書館找
抓賊和一些壞人 也是抓賊和一些壞人
我父母一直幫我 我父母一直要幫我
可是你連一次都沒來過這裡 可是你連一次都沒來這裡
所以我要給你看我怎麼生活的 所以我要給你看我怎麼生活
我覺得日本人都是客客氣氣的人 我覺得日本人都客客氣氣的人
然後我到京都以後 然後我可以到京都以後
也沒有看膩 也沒有看膩了
好久沒聯絡了 好久沒聯絡
尤其他很喜歡解決大的問題 他很喜歡解決大的問題
單單拿著老闆給我的那個碗 單單拿著老闆給我的那個碗子
在我後面排了很多客人 在我後面排隊了很多客人
我會說出來的菜單的名字是非常有限的 我會說出來的菜單的名字是非常有限
我喜歡的書的題目是「日本精神」 我喜歡書的題目是「日本精神」
為什麼會有這樣的情形呢 為什麼會這樣的情形呢
世界上有差不多兩百多個國家 世界有差不多兩百多個國家
現在的日本社會跟以前的差別很多 現在的日本社會跟以前的差很多
他們只看國外的好的部分 他們只看國外的好部分
老虎吃了石頭 老虎吃石頭
那本書的內容很簡單 那本書的內容是很簡單
所以難過的時候看那本書 所以有難過的時候看那本書
有很多小吃 有很多小吃的菜
希望你能幫我的忙 希望你能幫助我的忙
請老闆喝了一杯飲料 請老闆喝一杯飲料
他們很想去世界上玩一玩 他們很想去世界玩一玩
他不喜歡念書 不喜歡念書
每個禮拜日人都非常多 每個禮拜日人非常多
我最喜歡這部電影是因為我看完以後會想到小的時候 我最喜歡這部電影因為我看完以後會想到小的時候
他給我們特別便宜價錢 他給我們特別便宜
也得感謝他們把我們養大 也會得感謝他們把我們養大
不能停止說話 不能停說話
她不但是我最好的支持者 她不但是我的最好\84支持者
果然妻子懷孕了 果然妻子懷孕
我太著急了 太著急了
最後都會有很好的結果 都會有很好的結果
他們開始因為什麼事 他們開始什麼事
我利用這機會跟他們發現台灣漂亮的地方 我利用這機會跟他們發現台灣的漂亮的地方
雖然他們的工作害他們累得不得了可是他們常常幫忙我寫功課 雖然他們的工作害他們累得不得了可是他們常常幫忙我寫功
爸媽說最好的活動是在家一起 爸媽說最好的活動是在家一起在
他們不但給我生活 他們不但送給我生活
我上個星期跟我姐姐到美國去 我上個星期我跟我姐姐到美國去
我以為她是個不愛幫別人的忙的人 我以為她是個不愛幫別人的忙
可是最近我才知道 可是最近我才知道了
雖然她也跟我是同一樣的國家的人 雖然她也跟我同一樣的國家的人
那她馬上說「我幫你的忙」 那她說「我幫你的忙」
我一定馬上去幫你的忙 我一定要馬上去幫你的忙
尤其是生活上的東西越來越多 尤其是生活的東西越來越多
如果您有問題 如果您有問題問
喝酒不是解決方式 喝酒不是解決
我第一天上課的時候 我的第一天上課的時候
有很多人幫助我 有很多人有幫助我
我覺得台灣的房子比我們的國家好多了 我覺台灣的房子比我們的國家好多了
因為在我們國家要是你要找好一點的 因在我們國家要是你要找好一點的
這樣的房子雖然有一點貴 這樣的房子雖有一點貴
因為在我們的國家 因為在我們的國
我覺得更差 我覺更差
我馬上就買下它 我馬上就買它
是不是白活了 是不是白活
才往歷史這方面發展的 往歷史這方面發展的
那天我們時間比較多 我們時間比較多
死神的工作是去找被通知死亡的人 死神的工作是去找被通知的人
書的內容是這樣的 書的內容是這樣
發現有些地方跟電影不一樣 發現有些地方是跟電影不一樣
那本書介紹什麼東西做小吃的時候很重要也有用 那本書介紹什麼東西做小吃的時候有很重要也有用
只喜歡圖書館的安靜和乾淨 只喜歡圖書館安靜和乾淨
在那本小說裡 在那本小說
你想不想去動物園看「團團圓圓」那兩隻熊貓 你想不想去動物園看「團團圓圓」那兩隻熊貓嗎
那本小說是一種日本的文學 那本小說是一種日本的
因為他常常覺得我是第一次 因為他常常覺得我第一次
我高中的時候 我高中學的時候
然後去世界上最高的大樓 然後世界上最高的大樓
不過我已經安排好了帶你去故宮博物館你知道吧 不過我已經好好兒安排好了帶你去故宮博物館你知道吧
我等他的時候很緊張 我等他的時候很緊張了
關於他的性格 關於說他的性格
我還看過好幾次 我看過好幾次
我常常忘了我要做什麼 我常常忘了我做什麼
我也有讓我特別生氣的經驗 我也有發生讓我特別生氣的經驗
好像每天我買一杯咖啡跟一杯豆漿 好像每天每天我買一杯咖啡跟一杯豆漿
特別是今晚的月亮很亮 特別今晚的月亮很亮
我真的期待跟你見面 我真的期待跟你一起見面
誰能忘記那種身材 誰能忘那種身材
所以一定要有很多綠色的花 所以一定要很多綠色的花
我很輕鬆 我很輕鬆了
你將來的希望甚麼的 你的將來的希望甚麼的
所以中文程度不是很好 所以中文程度不不是很好
總是鬧鐘叫醒我 總是鬧鐘叫醒我了
以後 這個以後
雖然我每天都很忙 雖然我每天很忙
我們可以參觀這裡的博物館 我們就可以參觀這裡的博物館
所以我還受得了 我還受得了
因為我只想是運氣不好 因為我只想運氣不好
連開都不能開 連開不能開
可是我不肯再用他們的產品了 可是我不肯再用他們的產品
處理完問題以後 處理問題以後
她穿淡黃色的襯衫和白色的長裙子 穿淡黃色的襯衫和白色的長裙子
我老婆的話 老婆的話
有關等你的地點的事 有關等你地點的事
以後也希望我們能有好好的關係 以後也希望我們好好的關係
我們的關係已經十五年了 我們的關係已經過十五年了
我想讓你享受美食 我想讓你享受吃美食
我一如平常隨意進去某一家店 我如平常隨意進去某一家店
就忘了這個夢的大部分 我就忘了這個夢的大部分
不要忘記帶上衣來 不要忘帶上衣來
我相信他一定每天都有好好地念書 我相信他一定每天好好地念書
我一被叫醒 我一叫醒
有可能你們會胖得上不了飛機 有可能你們胖得上不了飛機
尤其是淡水的夜景更是無與倫比 尤其是淡水的夜景是無與倫比
生意蒸蒸日上 蒸蒸日上
台灣的天氣有點怪怪的 台灣的天氣有點怪怪
幾米是台灣的繪本作家 幾米是台灣人的繪本作家
他們是國小的同學 他們國小的同學
「星空」的內容是一個安靜的男生跟一個安靜的女生的故事 「星空」的內容是一個安靜的男生跟一個安靜的女生故事
每個故事都不一樣 每個故事不一樣
也真的是漂亮的書 也真的漂亮的書
我喜歡的「星空」是故事也是繪畫 我喜歡的「星空」是故事也畫
而且我覺得她男朋友對她做得太過分 而且我覺得她男朋友對她得太過分
可是別忘記出發一個小時以前先打個電話給我 可是別忘記一個小時以前先打個電話給我
從半夜你開始寫功課時不但天花板上所有的燈都開著而且放著你喜歡的搖滾音樂慢慢地寫功課 從半夜你開始寫功課時不但開天花板上所有的燈都開著而且放著你喜歡的搖滾音樂慢慢地寫功課
所以希望你跟朋友講電話時小聲 所以希望你跟朋友講電話時用小聲
張小春 ＦＲＯＭ張小春
地點也不需要再找 地點也不需要再找一找
所以我想她不必工作 我想她不必工作
像努力 就像努力
工作真的很辛苦 工作很辛苦
當時他不老 當時他不老了
我從來沒生過奶奶的氣 我從來沒生奶奶的氣
所以過了十幾年後 所以過十幾年後
她受到了我的幫助 受到了我的幫助
我一直希望奶奶看著我長大 我一直希望奶奶看我長大
而且可以溝通的長輩 且可以溝通的長輩
洗衣機和廚房是共用的 洗衣包機和廚房是共用的
不過我很滿意在這裡的生活 不過我滿意在這裡的生活
他現在很滿意自己的日文能力 他現在很滿意自己說的日文能力
他們鄉下人就去比賽 他們鄉下人就比賽
教室可不可以借我們兩個小時 我們教室可不可以借我們兩個小時
這對人類的身體不好 這是對人類的身體不好
在我心中最欣賞的人是我的媽媽 在我心中深切最欣賞的人是我的媽媽
可不可以讓我們幾個人上去跳舞 可不可以我們幾個人上去跳舞
另外像國中生與高中生都為了考試幾乎每天熬夜讀書 另外像國中與高中生都為了考試幾乎每天熬夜讀書
為了孩子好自己辛苦也願意 為了孩子好而自己辛苦也願意
這是很好的 這是很好
本來我想早一點告訴你 本來我早一點告訴你
我一個人去旅行時遇到他了 我一個人去旅行的時遇到他了
而且很久沒看見你 而且很久沒看見
我們就去租腳踏車看附近有意思的地方 我們就去租腳踏車看附近的有意思的地方
說不定時間不夠做所有的事 說不定時間不夠做所有的
我們互相寫信幾年了 我們互相寫信幾年
我的頭髮黑黑短��的 我的頭髮是黑黑短短的
所以我想我們下次可以去你家附近 我想我們下次可以去你家附近
我一百六十三公分高 我是一百六十三公分高
不錯 不錯吃
尤其是加了辣椒後 尤其是加辣椒後
等菜一起滷過後 等菜名一起滷過後
以上是我的計畫 以上我的計畫
或者一起去你想去的地方 一起去你想去的地方
還有當天的安排 還有當天的安排寫信
現在約下次見面的時間和地點 現在下次見面的時間和地點
所以我們可以一面玩水一面欣賞風景 所以我們一面玩水一面欣賞風景
在第一個鐘頭裡連一個句子都沒有 第一個鐘頭裡連一個句子都沒有
我提得太重了 我提太重了
我會了解要幫助別人 我會了解這麼要幫助別人
有種很溫暖的感覺 很溫暖的感覺
可是還有很多電影也用這樣的方式 可是還有很多電影也這樣的方式
我不要跟你說瓦力的全故事了 我不要跟你說瓦力的全故事
可是姊姊住在很遠的地方 可是姊姊住在遠的地方
我喜歡你活潑的個性 我喜歡你的活潑的個性
我想比父母早一點死 我想比父母早一點要死
所以沒有辦法我要一個人照顧父母 所以沒有辦法我一個人照顧父母
我還是非常難過 我非常難過
可是現在也會想到那個時候 可是現在也想到那個時候
他常常來我的家幫我的忙 常常來我的家幫我的忙
所以小林十幾歲的時候已經開始照顧媽媽 所以小林十幾歲的時候已經照顧媽媽
我希望你安全來到台灣喔 我希望你安全來台灣喔
雖然我們一直有連絡 雖然我們一直連絡
你夏天會來台灣 你夏天來台灣
我們交往了二年以後就結婚了 我們交往了二年以後結婚了
我們是一棟可以全家一起住 我們是一棟可以全家住
結果我希望學生學到日文跟日本文化 結果我希望學生學到學日文跟日本文化
那個時候的他只是好同事而已 那個時候的他只是好的同事而已
比方說永康街和師大夜市 比方說永康街和師大夜
有一個很特別事情 有一個很特別事情了
他總是鼓勵我做想要做的事 他總是鼓勵我要做的事
這個時候我奶奶把她存的錢給我 這個時候我奶奶把她的存的錢給我
付宿舍費 付宿舍的費
如果這樣我成功了 這樣我成功了
學了兩年以後 學兩年以後
自從我開始覺得在我的國家學中文沒有道理 我開始覺得在我的國家學中文沒有道理
每個人都有感謝的人 每個人有感謝的人
一個很有名的台灣的歌手 很有名的台灣的歌手
有很多有特色的地方 有很多特色的地方
最特別就是一個在河上的市場 最特別就是一個在河的市場
你不能跟我一起去真可惜 你不跟我一起去真可惜
好好玩 好好地玩
可是也有沒特色的地方 可是也有特色的地方
我們才能保持很好的關係 我們能保持很好的關係
由於他生活經驗豐富 由於生活經驗豐富
那時候王天華給我介紹他高中的學長 那時候王天華給我介紹高中的學長
也一樣是一千年以前做的 也一樣一千年以前做的
他們的意見沒有錯 他們的意見沒有錯了
可是特別喜歡的是歷史書和小說 可是特別喜歡的是歷史書和小說的
這本書的內容是介於歷史書和小說的中間 這本書的內容是歷史書和小說的中間
大部分是羅馬時代的事 大部分的是羅馬時代的事
很快就適應這裡的風俗與習慣 很快就適應裡的風俗與習慣
越來越愛他了 越來越愛上他了
也是中國傳統其中的代表 也是中國傳統其中的代表性
佳芝要打電話給他們 佳芝要打電話他們
第一個是那部電影的激性描寫 第一個是那部電影的過激性描寫
因為看他們戲劇的觀眾的反應很熱烈 因為看他們的戲劇的觀眾的反應很熱烈
第二個是它政治上的立場 第二個是它的政治上的立場
所以我自己的生活跟那本書的小孩比起來 所以我我自己的生活跟那本書的小孩比起來
我最欣賞的人是我在台灣的一個朋友 我最欣賞的一個人是我在台灣的一個朋友
大概是個好人哪 大概好人哪
見面的時間 見面的時間的話
你說過想坐公車來 你說過坐公車來
全部得到了他們的同意了 得到了他們的同意了
不過還沒看過你 不過還沒看過
我覺得你很親切也很溫柔 我覺得你很親切也溫柔
我想要住新的公寓 我想要新的公寓
所以我覺得當中文老師比較容易 所以我覺得當中文老師比較好容易
你喜歡嗎 你不喜歡嗎
我要用視聽資料讓學生喜歡上課 我要用視聽覺資料讓學生喜歡上課
櫃台裡的人看著我說 櫃台裡的人看我說
因此他們得再等五個小時坐飛機 因此他們得再等五個小時坐飛機的樣子
我想請你幫忙 我想你幫忙
先看有沒有車來就跑過去 先看有沒有車就跑過去
不到一半 不到了一半
我在哪裡都沒有看到刀叉的蹤影 我哪裡都沒有看到刀叉的蹤影
我的行李放下來之後 我行李放下來之後
我看到很喜歡的人 我看到很喜歡人
因為我對歷史非常感興趣 因為我對歷史非常興趣
演講那天的早上 演講天的早上
可是有的方面還沒變 可是有的方面還沒變了
對學習有很大的幫助 對學習是有很大的幫助
他是與雅虎網路公司有密切關係的人 他是與雅虎網路公司有密切關係的
最近有一位台灣非常有名的創辦者來分享他設立公司的經驗 最近有一位台灣非常有名的創辦者來分享他在設立公司的經驗
而且我在這裡過得非常好 而且我這裡過得非常好
學習順利 學習過得順利
我常常在晚上睡覺的時候作夢 我常常在晚上睡覺的時候會作夢
這一種感覺讓我覺得自由自在 這一種感覺讓我覺得很自由自在
在世界上什麼菜都比不上你做的 在世界上有什麼菜都比不上你做的
我會帶你們去１０１大樓 我會帶你們去１０１樓
是世界最高的大樓 是世界是最高的大樓
租金越來越高了 越來越高了
在那裡您們可以購買電子產品 在那裡您們可以購買像電子產品
到底怎麼才可以變紅呢 到底怎麼可以變紅呢
也希望學生來上我的課會痛痛快快地來學 也希望學生來上我的課會很痛痛快快地來學
我相信教大學學生很難 我相信教大學學生是很難
我當過老師可是沒教過大學學生 我有當過老師可是沒教過大學學生
我們整首歌的歌詞討論的題材 我們首歌的歌詞討論的題材
我們的班果然也要參加表演 我們的班果然也要參加來表演
別的樂器我們會自己帶來 別的樂器我們會自己帶來學校
跟人的好壞有關 跟人好壞有關
再加上走路五分鐘就會到學校 加上走路五分鐘就會到學校
我們差不多看過十多個房間 我們差不多看過十多個的房間
看到他很開心的樣子而使我也很開心 看到他很開心的樣子而使我很開心
可是在找房間的過程中我們遇到了不少很開心的事情 可是在找房間的過程中我們遇到了不少的很開心的事情
他來臺灣三個月都住在民宿 他來臺灣三個月住在民宿
因此我決定幫他的忙 因此我決定了幫他的忙
不過當時他來臺灣還不到四個月 不過當時他來臺灣還不到四個月了
穿咖啡色的皮夾克和戴帽子 穿咖啡色的皮夾克和帽子
我應該會認得妳 我會認得妳
等待你很快的回信 等待你的很快的回信
你應該會喜歡他們 你應該喜歡他們
為了讓你認得我 為了你認得我
因為他要參加日文的考試 因為他要日文的考試
我到我高中的圖書館找資料時 我到我高中的圖書館找資料的時
他現在不但在台灣發展 他現在不但在台灣
尤其是在日本沒有機會 可是尤其是在日本沒有機會
討論後我們可以一起去車站附近的博物館 我們討論後我們可以一起去車站附近的博物館
所以需要國語中心幫我們準備音響 所以需要國語中心幫我們準備音響機器
我很高興我們快要見面了 我很高興我們快要見面
今天我要報告我們班討論過的關於表演的節目 今天我要報告我們班討論過的關於表演節目
他也願意幫他 他願意幫他
所以你還看不到我 你還看不到我
我會在捷運站的唯一一個出口等你的 我會在捷運站的唯一個出口等你的
我常常說「我喜歡黑髮美女」 我會常常說「我喜歡黑髮美女」
找一找賣得最便宜的店 找一找賣最便宜的店
到店裡實際用電腦 店裡實際用電腦
可能２年一次或者３年一次特別的活動 可能２年一次或者３年一次的特別的活動
從來都是這樣 從來是這樣
每天我們穿很多衣服 每天我們穿了很多衣服
我們兩家的關係總是很好 我們家的關係總是很好
我們吃很好吃的東西 我們吃得很好吃的東西
在德國 在德國裡
因此我們決定去高雄跟墾丁 因此我們決定了去高雄跟墾丁
大家洗澡以後 大家都洗澡以後
所以如果你來台灣旅行的話 所以如果你有來台灣旅行的話
那個島有海邊 那個島裡有海邊
你來台灣旅行時 你來台灣旅行的時
我坐飛機的時候轉機兩次 我坐飛機的時候轉機了兩次
我坐飛機到台北 我坐了飛機到台北
我都跟我新的台灣朋友一起玩一玩 我都在跟我新的台灣朋友一起玩一玩
常常聽不懂台灣人的說法 常常聽不懂了台灣人的說法
聽說因為她也有好工作 聽說因為她也有好的工作
她是一個外國學生來台念書 是一個外國學生來台念書
我寧可不願意學習政治也要說自己的看法 我寧可不願意學習政治也不要說自己的看法
這個自己認真地練習的話 這個是自己認真地練習的話
我從小的時候到現在看過的書大部分是歷史類的書 我從小的時候到現在看過的大部分是歷史類的書
我去圖書館看一看一些書 我去圖書館看一看一些本書
因為做小吃的時候讓書變髒 因為做小吃的時候讓書髒
每天跟她在一起的他突然知道了她得了血友病 每天跟她一起的他突然知道了她得了血友病
最好要安排夠長的時間吧 最好要安排夠長時間吧
讓我感受到很歡迎觀光客的氣氛 讓我感到很歡迎觀光客的氣氛
但是過了一陣子 但是時間過了一陣子
要是男同學跟她在一起 要是男同學跟她一起
每個行業都有各種的好處和壞處 每個行業有各種的好處和壞處
她就明白當模特兒的生活和工作 她就明白模特兒的生活和工作
也很有趣 也很有趣的
都發出笑聲 都發笑聲
買東西卻不太方便 買東西不太方便
以後會住在台灣很久 以後會住台灣很久
一年以前我跟男朋友找到了新房子 一年以前我跟男朋友找了新房子
所以演講廳前面掛上很大的螢幕 所以演講廳前面掛很大的螢幕
你來我的地方 你來我的地方了
我到目前第一次碰到這麼親切的人 我到目前第一次碰到了這麼親切的人
所以有不安又可怕的感覺 所以有既不安又可怕的感覺
這本滿有趣的 這本滿有趣
關於內容 關內容
在夜市有很多好吃的小吃 在夜市有很多賣好吃的小吃
再說我的預算不夠多 再說我的預算不夠多了
他不想騙人 他不騙人
是因為這兩個國家的歷史非常地光榮 是因為這兩個國家的歷史非常光榮
女人要不斷地照顧或補充 女人不斷地照顧或補充
然後我們去很多有名的地方 然後我們去很多去有名的地方
因為我們好久沒見面了吧 因為我們好久沒見面吧
我高中畢業以後一直做那個工作 我高中畢業以後一直那個工作
我跟媽媽一起去日本玩 我跟媽媽一起去日本
真的很無聊 真的無聊
而且看新聞好像來颱風了 而且看新聞好像來颱風
女人一定要對人體貼 女人一定對人體貼
這個夜市也非常有名 這個夜市也非常有名的
我也喜歡看書 我也喜歡
想到我們這十年來 想到我們這十年過來
我們可以去超級市場跟餐廳學食物種類 我們可以去超級市場跟餐廳學食物
去百貨公司學衣服搭配 去百貨公司學衣服
可是對一般人來說在生活上 可是對一般人來說在天天生活上
每一天碰到什麼困難不快樂就可以向他訴苦解決 每一天碰到什麼困難不樂就可以向他訴苦解決
也沒有什麼大事 也沒有什麼大件事
但有心的女人會照顧兩邊 但有心的女人照顧兩邊
可是跟他們見面的時候 可是然後跟他們見面的時候
我看過我所有的朋友沒穿衣服 看過我所有的朋友沒穿衣服
可是也覺得這件事很好笑 可是也覺得這件事也很好笑
差不多一百六十圓日幣 差不多一百六十日幣
上個星期六我在你的生日會上玩得很開心 上個星期六我在你的生日會玩得很開心
但是我一開口 但是我一開放口
所以我帶的錢不夠 所以我帶來的錢不夠
這個事情對我來說是在台灣留學生活當中最難忘的事 這個事情對我來說在台灣留學生活當中最難忘的事
我希望有一天又見到他 我希望有一天又見到他了
校長用親戚的權力讓他過來 校長用來親戚的權力讓他過來
而且是我們校長的親戚 而且我們校長的親戚
我以為這樣的情況會很改善 我以為這樣的情況會很
這些都是從你那聽的 這些都是從你聽的
現在如果身體發生了某個問體 現在如果身體發生某個問體
他在比賽進行時 他比賽進行時
我們同學聽得感動到都愛上他的歌聲了 我們同學們聽得感動到都愛上他的歌聲了
我們並沒有請他對每一位同學評語 我們並沒有請他對每一位同學給評語
你看到我的這封信後 你看到我的這封信
努力地做好什麼 努力地做什麼
就在１９４９年那年 就是在１９４９年那年
他們兩個不能再見面了 他們兩個不能見面了
所以那部電影才有這個標題 所以那部電影才有標題
所以我就在網路上找房子 所以我就在網路找房子
才租房子的 而才租房子的
我覺得是很好的想法 我覺得很好的想法
雖然現在只是個學生 雖然現在是個學生
甚至於有公車去學校 甚至於有公車去學校的
房租包括水電費 房租裡包括水電費
我看到了一家小小的店 我看到了一家小小店
也非常浪漫 也是非常浪漫
我去了很多地方找 我去了很多地方去找
我想讓他們開心 讓他們開心
其實我自己也不懂什麼東西是最適合的 其實我自己也不懂什麼東西是最適合
可是他對這些玩具很好 可是他是對這些玩具很好
然後不要的話不能隨便丟 然後不要的話隨便丟
我感受到的就是如此 我感受到就是如此
也帶我走進這歷史悠久的料理傳奇 也帶我走進這歷史悠久的料理傳奇裡頭
心裡卻是在竊喜 心裡卻是在竊喜著
哦我忘了還給你書對吧 哦我忘了還給你的書對吧
最後他看見外婆走路回家 最後他看見外婆在走路回家
禮拜六你有邀請很多朋友來這裡吃飯可是你都沒有告訴我 禮拜六你有請很多朋友來這裡吃飯可是你都沒有告訴我
我第一次看到她就發現她的眼睛最可愛 我第一次看到她就發現了她的眼睛最可愛
我們以前是很好的朋友 我們以前是很好朋友
而且晚上的時候你聽的音樂太大聲 而且晚上的時候你聽的音樂聽得太大聲
每學期都有不同的活動 每學期都有不同的
台灣有一間很大的博物館 台灣有很大的博物館
你猜猜是誰來我們學校 你猜猜是誰來我們學校的
整個會場都充滿興奮感 整個會場都充滿興奮
後來才知道我們學校一位有名的教授就是她的大伯 後來才知道我們學校的一位有名的教授就是她的大伯
在一起努力之下 在努力之下
最後他們到達西藏取到經 最後他們也到達西藏取到經
我的感想 感想
爸爸以前的嘮叨和所教的事 爸爸以前的嘮叨和所教的
我們那天晚上聊個不停 我們那天的晚上聊個不停
因為我的雙胞胎姊妹不在了 因為我的雙胞胎不在了
我就回去我出生的地方是為了找到我的雙胞胎姊妹 我就回去我出生的地方是為了找到我的雙胞胎
發現我有一個雙胞胎姊妹 發現我有一個雙胞胎
我們會幸福 會幸福
而表演起來應該很精彩 而表演起來很精彩
我個人覺得我們的班應該表演扯鈴 我個人覺得我們的班應該表演拉扯鈴
讓我真正感覺到爸爸的愛 真讓我真正感覺到爸爸的愛
老師應該自己在小學學過扯鈴 老師應該自己在小學學過拉扯鈴
我有一個特別好的新聞要告訴你 我有一個特別好的新聞我要告訴你
如果問我為甚麼喜歡這本書 如果問我為甚麼我喜歡這本書
從上個星期開始 從上個星期
我們很快做了朋友 我們很快做朋友
她特別有禮貌 她特別禮貌
我找了找 我找找
我洗衣服的時候常常用手洗 我洗衣服的時候常常用手洗了
是我頭一次買 是我頭一次要買
最後我決定忘記這件事 最後我決定忘記一下這件事
這本書上介紹很多在各個國家有趣的地方 這本書上介紹很多在各國家有趣的地方
馬上就把用過的盤子洗一洗 馬上就把用的盤子洗一洗
把用過的盤子放在桌子上 把用的盤子放在桌子上
不能集中放好 不能集中
可是我６年沒有機會去外國工作 可是我這個６年沒有機會去外國工作
我不喜歡那種氣氛 我不喜歡那種的氣氛
知道學外國語很難 知道學外國語學得很難
所以我回國以前要陪他遊臺灣 所以我回國以前要陪他臺灣
「白老虎」的故事是在現代印度發生的 「白老虎」的故事是在現代印度發生
當然我們選的節目要非常精彩 我們選的節目要非常精彩
老師其實我這幾天心情不太好 老師其實我這幾天心情不太
因為我們都會安排妥當 因為我們都會安排
聽我說話或安慰我 聽我說的話或安慰我
可能是從小一起長大的關係 可能是從小一起長到大的關係
我希望你了解我苦心 我希望你了解我
我說這些事情是為了你好 我說這些事情為了你好
只有我一個人留在我們宿舍的寢室裡 只有我一個人留在我們宿舍的寢室
房租包括水費跟第四台 房租包括水費跟第四台費
想要買小房子 想要買小的房子
三年前我在看過關於大熊貓的一部記錄片 三年前我在看過關於大熊貓一部記錄片
他們每條路都會碰到妖怪 他們每條路都碰到妖怪
也就是說 就是說
有些我看過了就沒有什麼興趣 有些部我看過了就沒有什麼興趣
有些我看過就不會忘記 有些部我看過就不會忘記
我很小的時候已經看這部電影了 我很小時候已經看這部電影了
有一天她決定要殺她的先生 有一天她決定她要殺她的先生
我很容易了解她的中文 我容易了解她的中文
有的時候說不出話來 有的時候說不出來
在武道館開始學太極劍和太極拳 在武道館開始學太極劍和太極拳了
不容易找房間 好不容易找房間
現代的學生對未來很猶豫 現代的學生對未來猶豫
就希望我們互相會改善上課的方式 就希望我們互相會改善上課方式
