到了以後他走著走著就不知道在哪裡 到了以後他走著走著就不知道他在哪裡
那天是星期天我跟幾個外國同學到酒吧玩 那天是星期天我跟幾個外國同學到酒吧玩玩
可是你不在 可是你不在了
我能不能麻煩你一件事 我想能不能麻煩你一件事
然後在家休息一天 然後一直在家休息一天
因為是上班的時間所以每一輛公車都擠滿了人 因為是上班的時間所以每一輛公車都滿了人
所以我用英文問一個女生 所以我用英文問有一個女生
祝你們兩個永遠在一起 祝你們兩個永遠住在一起
文德是大學生 文德是大學學生
然後在山上野餐 然後在山上野餐了
捷運站離這裡很近 捷運站離這裡這裡很近
我很喜歡在台灣認識台灣人和別的國家的人 我很喜歡在台灣認識台灣人和別國家的人
現在是夏天天氣很熱 現在是夏天所天氣很熱
他們見面的時候台生很高興因為外面那麼熱 他們見面的時候台生很高興因為外面真麼那麼熱
還有交了很多台灣人朋友 還有很多台灣人朋友
恢復以前的大明很有活力 恢復以前的大明很活力
去給醫生看了沒 有去給醫生看了沒
看完以後他們都很累 看完以後他們都很累了
我特別喜歡數學 我特別喜歡學數學
所以他可以走路去學校 所以他可以走去學校
現在我在台灣住了一年多了 現在我在台灣了一年多了
中文電影英文電影什麼我們都喜歡看 中文電影英文電影什麼的我們都喜歡看
我們常常在公車上站著 我們常常在上站著
謝謝您請我參加你的慶祝會 謝謝您請我你的慶祝會
我們等著等著 我們等著等著說話
我們上課上到中午三點鐘 我們上課到中午三點鐘
我六點就跟你們在那裡見面 我六點就跟你們那裡見面
我覺得我愛她 我覺得我大概愛她
很高興 真很高興
我八點鐘從我家到學校去上課了 我八點鐘從我家來到學校去上課了
上課的時候 上了課的時候
去書店買我們的新課本 去到了書店買我們的新課本
吃晚飯以後 吃了晚飯以後
我星期一到星期五早上十點二十分到十二點十分上課 我星期一到星期五十點二十分到十二點十分上課
那堂課是我最喜歡的 那課是我最喜歡的
可是今天也是我應該上課的日子 可是今天也是我應該上課的
早生貴子 早日生貴子
我走著走著找到一個漂漂亮亮的花 我走著走著找到一個很漂漂亮亮的花
那一天很有意思 真的那一天很有意思
晚上五點半他們到了火車站 晚上五點半他們到了火車站去
四月最熱 四月是最熱
在泰國每個月天氣都很熱 在泰國每個月天氣都熱
所以他們不能去 所以他們不能去了
恭喜恭喜你找到工作 恭喜恭喜你找到你的工作
最近找工作很難 最近找到工作很難
因為這個城市有一個很大的河 因為這個城市有一個很大的河叫ｉｓａｒ
從星期一到星期五要是下個周末你有時間 從星期一到星期五有要是下個周末你有時間
你現在還覺得你很不舒服嗎 你現在還覺得你很舒服嗎
她為我花了不少時間 她為了我花了不少時間
但是裡面有很多照片是讓我紀念我的同學們 但是裡面有很多照片讓我紀念我的同學們
因為我五月二十日我得回家 因為我五月二十日我回家
他對同學們很好 他對同學們教得很好
陪他的女朋友去看電影 他陪他的女朋友去看電影
所以常常一起坐公車回家 所以常常一起坐公車去回家
烤肉很好吃 烤肉是很好吃
他可以好好的學中文 他可以好好的學中
除了功課以外我也得準備這個周末的考試 除了功課以外我也得準備這個周末考試
他們在談昨天的電視節目的事 他們在談昨天的電視節目的事情
我會跟她再約會 我會跟她一起再約會
他們看的是美國電影 他們要看的是美國電影
但在美國我沒有機會練習白話 但在美國我沒有那麼機會練習白話
他們就點菜了 他們都就點菜了
還沒開始吃 還沒開始吃飯
我們不知道為什麼開始下雨 我們不知道為什麼後來開始下雨
很多朋友也到那裡住 很多朋友也那裡住
他注意聽老師的說明 他注意老師的說明
他帶李台生先生到那個火車站去 他帶李台生先生開到那個火車站去
１台車來了 １台車來
因為他覺得這個考試非常容易 因為他覺得這考試非常容易
容易懂 容易懂了
可是他笨得不得了 可是他笨蛋得不得了
你回來的時候可以跟我們全班同學一起分享你去遊玩的過程 你回來的時候可以跟我們全班同學一起分享你去遊玩的過程中
春天在我家附近的公園野餐 春天在我家附近的公園看著花野餐
所以每次在家裡看電視 所以每次在家裡看了電視
看起來他很希望知道 也看起來他很希望知道
可是我不太喜歡早起 可是我不太喜歡早起床
我們家在學校的附近 我們家是在學校的附近
他們的家也很近 他們的家也很
而且公車慢慢的才來 而且公車慢慢的來
我不知道你打工的地方有什麼好吃的餐廳 我不知道你打工地方有什麼好吃的餐廳
恭喜你剛找到了一個工作 恭喜你剛剛找到了一個工作
我們在你開晚會的那一天就去 我們在你開晚會的那一天就出去
　我為你高興 我為你真高興
他問老師他不清楚的部分 他問了老師他不清楚的部分
第二天有上課的前一晚 第二天有上課的前晚
謝謝邀請我參加妳們的婚禮 謝謝邀請我妳們的婚禮
我是你小學的朋友 我是你小學朋友
我們很快就把全部的東西放在包包裡 我們很快就把全部東西放在包包裡
可是我們沒想到那天下雨所以沒有人帶帳篷 可是我們沒想到那天有下雨所以沒有人帶帳篷
我希望你身體快點好 我希望你身體快好
因為那一天我媽媽會來台北 因為那一天我媽媽來台北
然後開始烤東西 然後開火開始烤東西
所以他們都不知道天氣開始不好了 所以他們都不知道天氣開始不好
我就想出一個辦法 我就想出來一個辦法
常常忘了吃飯 常常忘了時間吃飯
希望我不會讓你難過 希望我不讓你難過
家裡的事也很忙 家的事也很忙
可是最近我工作很忙 可是現在最近我工作很忙
所以我們是最好的朋友 所以我們是最好朋友
最近找工作很難 最近找到工作很難
今天本來要過去你家看你的 今天本來要過去家看你的
我得參加我弟弟的生日會 我得參加我的弟弟的生日會
他馬上起床 他跑馬上起床
林美美是我的好朋友 林美美是我的好好朋友
我早上六點半起來 我早上六點半起來了
所以他們決定他們看「Ｗａｌｌ－Ｅ」 所以他們決定他們會看「Ｗａｌｌ－Ｅ」
慶祝明天的情人節 慶祝慶祝明天的情人節
我要告訴你明天我不能來上課 我要告訴你天我不能來上課
回去以後我會跟你們聯絡 回去以後我跟你們聯絡
我跟別的同學也覺得是這樣 我跟別的同學也覺得本來是這樣
我馬上去學校門口等他 我馬上去學校門口等他了
所以把他不懂的問題再教他 所以把他不懂的問題再教給他
所以下個星期我要回國 所以下個星期我回國
但是它不能烤肉 但是不能烤肉
天氣變了 天氣改變了
所以我真要去看你 我真要去看你
明天我要參加獎學金考試 明天我要獎學金考試
因為他不會到火車站去 因為他不會到火車站回去
我覺得你應該吃藥 我覺得你應該也吃藥
我們很久沒見面了 我們很久沒見面
他會說李台生的國家的話 他會說李台生的國家話
開車的先生是一個義大利人 在開車的先生是一個義大利人
他們帶著吃的東西坐２９７號的公車到山上去 他們帶著吃東西坐２９７號的公車到山上去
本來她們要吃烤肉 本來她們吃烤肉
我搬到台灣 我搬家到台灣
今天我打算去你家看你 今天我打算了去你家看你
他們到了 他們就到了
他下車說謝謝 他下著車說謝謝
我真高興 我真很高興
可是那些沒看過的 可是那些風景沒看過的
所以麻煩幫我忙 所以要是你麻煩幫我忙
他們決定在飯店吃飯 他們決定在飯店吃
好可惜 好可惜呢
在火車站台生對他朋友說「再見」 在火車站的地方台生對他朋友說「再見」
我當然去看醫生 我當然去了看醫生
我們看了一部卡通電影 我們看了一部卡通的電影
所以我回家後要複習 所以我回家後要複習了
躺在床上想 躺在床上在想
可是我這裡等公車等了很久 可是我這裡等公車很久
所以我們去附近的飯店 所以我們去附近飯店
我的爸爸還有媽媽那天要回來台灣 我的爸爸還有媽媽那天回來台灣
到了第２個十字路口 到了第２個的十字路口
我只有一個人去 我只有一個人去了
因為我要跟父母一起去姑姑的家 因為我跟父母一起去姑姑的家
我們大學的時候 我們大學生的時候
我住在台灣差不多六個月了 我住在台灣差不多六個月
從那邊走路５分鐘就到了 從那邊走路５分鐘就到
他在學校念書的時候他跟林美美說話 他在學校念著書的時候他跟林美美說話
如果有機會的話再見喔 如果有機會的話見喔
我要帶你去同安街我常常去的餐廳 我要帶你去在同安街我常常去的餐廳
所以我們一定點那種菜 所以我們一定點菜那種菜
去哪裡吃飯 就要去哪裡吃飯
他感謝幫助他的人 他感謝幫助的人
「我現在迷路了」 「我現在迷路」
他怕他回不去 他怕他回
他玩得時間過了也不知道 他玩得時間過了他也不知道
我是韓國人 我是韓人
因為是我出生的季節 因為我出生的季節
有一輛汽車停了 一輛汽車停了
夏天很悶熱 夏天是很悶熱
天華走路走很快 天華走路很快
其實我很想去看你們那 其實我很想去看你們那兒
我最近工作很忙 我最近工作的很忙
可是連一個人可以回答他的也沒有 可是連一個人可以回答他也沒有
我從日本會把一個禮拜送給你 我從日本會把一個禮拜買送給你
我希望我不在的時候你會快樂地慶祝 我希望我不在的時候你會快樂地慶祝慶祝
我從外蒙古國來了台灣國 我從外蒙古國來了在台灣國
有一個人開車過來他站的地方 有一個人開車過來他的地方
我覺得很奇怪 我覺得奇怪
我還要再學一年的中文 我還要學一年的中文
有的時候到我家裡念書 有的時候我家裡念書
我非常喜歡紐約但是我十歲搬到這裡 我非常喜歡紐約但是我十歲搬到在這裡
請幫我買：我媽媽很喜歡喝台灣的茶和衣服 幫我買：我媽媽很喜歡喝台灣的茶和衣服
當然不知道怎麼辦 也當然不知道怎麼辦
最近找工作很難 最近找到工作很難
請坐在我旁邊吧 請坐我旁邊吧
郊區是我長大的地方 郊區是我的長大的地方
不必吃藥 不必藥
她一看到男朋友就高興地跑過去 她一看到男朋友就高興地跑過去他
用電腦跟她的男朋友聊那時候的事 用電腦跟她的男朋友聊天那時候的事
我詢問同學明天的功課 我問同學明天的功課
聽說在法國紅酒特別好喝也很便宜 聽說在法國紅酒特別很好喝也很便宜
我的親人都在台灣 然後我的親人都在台灣
所以請假 所以請放假
然後我需要到小學去把我妹妹接回家 然後我需要到小學去我妹妹接回家
所以不能參加了 所以不能參加
可是我不能參加你的慶祝會 可是我不能參加你的祝會
度過了很開心的時間 過了很開心的時間
今天我大學畢業了 今天是我大學畢業了
我應該考法文 我應該考試法文
我很快就懂了 我很快懂了
後來李台生要請林小安到他家 後來李台生要請林小安他家
林小安說「請你幫我一個忙」 林小安說「請你幫我一個忙嗎」
那輛紅色的車馬上停到路旁邊 那輛紅色的車馬上停到路上旁邊
下山的時候 下了山的時候
手跟腳都沒有力氣了 手跟腳都不沒有力氣了
他在路邊等別人來 他在路邊等別的人來
黑色的包裡面有一些東西 他的黑色的包裡面有一些東西
你也可以跟我去 再你也可以跟我去
他帶黑色的包 他帶他的黑色的包
忘了怎麼走去山上 忘了怎麼走去山上面
請幫我買東西 請幫我買東西忙
十多公分高 十多公分的高
因為我沒辦法參加 因為我沒辦法可以參加
然後他們看到一家餐廳 然後他們看到有一家餐廳
他比其他同學先繳考卷 他比其他同學先繳了考卷
我覺得她很好看 我一定覺得她很好看
他跑十分鐘到了公車站 他十分鐘到了公車站
他坐公車坐三十分鐘才到學校了 他坐公車三十分鐘才到學校了
因為愛文不喜歡數學所以跟朋友一直聊天 因為愛文不喜歡數學所以跟朋友一直聊天了
看完以後他們去吃晚飯 看了完以後他們去吃晚飯
學中文真有意思 學中文學得真有意思
我是日本人 是日本人
到了那地方 到了地方
我覺得我們好久不見了 我覺得最近我們好久不見了
休息幾天就好了 也休息幾天就好了
所以我不能去看你 所以我不能看你
在日本的時候我常常看中國話的電影 在日本的時候我常常看了中國話的電影
我會念得很好 我會好好念得很好
下個星期五是我弟弟的生日 下個星期五我弟弟的生日
這裡的公車 這裡的公車是
我睡覺睡得比較安心 我睡覺睡得比較更安心
最近流行的電視 把最近流行的電視
常常跟他說說話 常常跟他很多說說話
跟朋友聊天 跟朋友聊半天
我很努力 我很多努力
我打算一起玩兒的事 我要打算一起玩兒的事
再見 再見呢
真好 真很好
去玩兒還有看電視 也去玩兒還有看電視
我的朋友回國以後 我的朋友回國的以後
這種是她最喜歡的麵包 這種是她的最喜歡的麵包
公車也來了 公車也有來了
他們一起約在２９７的公車站等公車 他們一起有約在２９７的公車站等公車
有四個好朋友計畫要去外面烤肉 有四個好朋友有計畫要去外面烤肉
因為買東西還有交通上很方便 因為買東西還有交通很方便
我最喜歡秋天的天氣我常常跟朋友們一塊兒去山上去玩兒還有休息幾天 我最喜歡秋天的天氣我常常跟朋友們一塊兒去山上去玩兒還有休息幾個天
他才知道那個開車的人的名字是林小安 才知道那個開車的人的名字是林小安
不知道自己在哪裡 就他不知道自己在哪裡
我才到了火車站 我才到了火車站來
我今天還有課 我今天還有上課
我來台灣已經三個多月了 我來台灣已經三個多月經過了
因為他到半夜還在夜店玩兒 因為他到半夜在夜店玩兒
他們從山上到火車站 他們從山到火車站
我送你到那裡 我送你那裡
我就跟他做功課 我就跟他做功課了
那天也剛好考試結束 那天也是剛好考試結束
今天我六點半起來 今天我六點半起來了
我想約妳下課以後去看電影 我想約妳下課去以後去看電影
就買了票進去裡面找位子 就買了影票進去裡面找位子
我從ＥＬｕｏｓｉ來 我從ＥＬｕｏｓｉ來了
睡到忘了時間不起床 睡到忘了時間起床
然後看電影 然後看電影了
他們都很緊張 他們都很緊張了
在公車上他們一直聊天 在公車上他們一直聊天了
今天早上小張六點半起床 今天早上小張六點半起床了
因為現在在台灣買比較便宜 因為現在在台灣的買比較便宜
我聽說你下個星期要回國 我聽說你下個星期你要回國
所以那個時候我想給你介紹他們 所以那個時候我想給你介紹介紹他們
你為什麼那麼晚才來上課 你為什麼晚才來上課
好像快到夏天的樣子 快到夏天的樣子
當然我會請客喔 當然我會請客你喔
台灣的天氣呢 這裡台灣的天氣呢
所以下午五點半林小安到火車站 所以下午五點半林小安到了火車站
他走下山去然後打算去火車站坐火車回家 他下山去然後打算去火車站坐火車回家
怕明天太晚起來 怕明天太晚起來呢
聽了全班都笑起來 聽了全班都在笑起來
各位好 各位您好
所以他覺得很累也不舒服 所以他快覺得很累也不舒服
最近在工作所以我有很多事情 最近在工作我有很多事情
開車的那位先生很客氣 開著車的那位先生很客氣
他吃了早飯以後馬上就去公車站 他吃了早飯以後她馬上就去公車站
下課以後他們常常一起坐公車回家 下課以後他們常常在一起坐公車回家
可是他不喜歡語言課 可是他不喜歡語言的課
所以今天他決定他要請她看一部很可愛的電影 所以今天他決定了他要請她看一部很可愛的電影
我留一張賀卡給你們 我留一張祝賀卡給你們
因為他自己覺得太晚了 因為他自己覺得是太晚了
我問她 我問了她
他們倆個人一起看電影的時候 他們倆個人一起看者電影的時候
我自己要坐ＭＲＴ到學校去 我自己要坐ＭＲＴ到學校去了
今天是我上第一次的課 今天是我第一次的課
在那裡等很久公車沒來 在那裡等很久公車來
現在他要回家 現在下午他要回家
所以我應該去找她 所以我應該去她
他在學校念書念了很多節課 他在學校念書念了很多課
後來他懂了 後來他能懂了
可是他的朋友幫他念 可是他的朋友幫他念數學
她很感動地哭了 她很感動哭了
他覺得她喜歡看那種電影 他覺得她喜歡看那種的電影
我好想看你們 我好好想看你們
心裡感覺不安 心裡感覺得不安
我去上課的時候還得坐公車 我去上課的時候還要得坐公車
為什麼看台灣台學中文 為什麼台灣台學中文
所以你感冒了嗎 所以你應該感冒了嗎
你要從那個捷運站到公館站就到了 你要從那個捷運站去到公館站就到了
很有意思 一天很有意思
早日恢復健康 早日健康
我剛開始念大學的時候你幫了我好幾個忙 我剛開始念大學的時候你幫我好幾個忙
李台生「拜拜喔」 李台生「拜拜你喔」
問你覺得怎麼樣 問你絕覺得怎麼樣
秋天的時候山上風景真好看 秋天的時候在山上風景真好看
天氣很好的時候我常喜歡照相 天氣很好的時候我常喜歡照相片
我忘了帶水 我忘了帶幾瓶水
他就停車幫我 他就停車了幫我
我很高興可是非常累 我很高興可是非常累了
所以他開始跑 所以他開跑
你們結婚 你們婚
在山上有很多樹木都是綠色的 在山上有很多木都是綠色的
他們很高興 他們高興
那時候他覺得他睡好了 那時候他覺得他剛睡好了
我在學校的餐廳裡不見了一本書 我在學校的餐廳不見了一本書
我約十一點半到您辦公室來的 我十一點半到您辦公室來的
我先把中文學好再考大學 我先把中文學好再考上大學
他的女朋友坐在他的旁邊 他的女朋友坐他的旁邊
開始準備去學校 開始準備去學校了
他們去吃晚飯 他們去吃晚飯了
有時候他教她數學 有時候他教她數學的問題
所以有時候他上著課跟她聊天 所以有時候他上著跟她聊天
我家離電車站很近 從我家離電車站很近
也是我不太喜歡的季節 也我不太喜歡的季節
我不知道怎麼辦 我不知道怎麼辦了
我很高興 我很高興了
在韓國有很多中國人 在韓國裡有很多中國人
因為我弟弟的生日是５月２１日 因為我的弟弟的生日是５月２１日
那部電影是機器人的故事 那電影是機器人的故事
他跟林美美一起坐公車 他跟林美美一起坐公車了
他教了同學 他教了給同學
同學跟愛文說「請你幫我解那個問題」 同學跟愛文說了「請你幫我解那個問題」
他只有數學課 他只有數學的課
每個人都對我很好 每個人對我很好
我要去這裡附近的火車站 我要去在這裡附近的火車站
隔天王天華很早就到學校了 王天華很早就到學校了
念好了 念書好了
是紅色還是白色 是紅色白色
我給你看一看這張圖 我給你看一看在這張圖
很有意思 很有意思了
所以我們沒有辦法 所以我們沒有辦法了
很好吃 很好吃了
我們一邊吃 我們一邊吃飯
他們都吃驚 他們都吃驚了
因為他很認真地看書做好準備 因為他很認真地看了書做好準備
昨天考試都考完了 昨天考試都完了
他走了三個小時 他走路了三個小時
當然他很累 當然他很累了
所以他開始想回家了 所以他開始回家了
他急得向同學們借筆記本來影印 他很急得向同學們借筆記本來影印
李台生決定到樹林裡走路去 李台生決定到樹林走路去
他走到樹林裡的時候 他走到樹林的時候
可是他最喜歡的是紅色的小鳥 可是他最喜歡是紅色的小鳥
電影院是大安電影院 電影院是在大安電影院
你要保重 你要保
王大好是大安大學的學生 王大好是在大安大學的學生
兩個都有一樣的課 兩個都有一樣的班課
下課以後 下課以後了
我最喜歡的日本的地方是長野 我最喜歡的日本地方是長野
他爬了三個小時 他爬三個小時
他等了十分鐘 他等十分鐘
大明才放心 大明才會放心
他真不敢相信他的眼睛 他真不相信他的眼睛
因為我住在秘魯的奶奶病得很嚴重 因為我住在秘魯的奶奶生病得很嚴重
那位小姐跟他說「一直走就會看到你要找的學校」 那位小姐跟他說「一直走就會看到你找的學校」
因為他的老師就是那天幫助他的小姐 這是因為他的老師就是那天幫助他的小姐
他現在覺得那天迷路不是倒楣 他現在覺得那天迷路不是一個倒楣
幸好沒有遲到 幸好沒有遲到了
就去山上爬山 就去了山上爬山
所以天氣太熱了 所以天氣也太熱了
因為我忘了帶吃的東西 因為我忘了帶吃飯的東西
我問他可以不可以一起去火車站 我問他可以不可以開車一起去火車站
我希望你的病快好了 我希望你的病快要好了
他們六歲就認識了 他們才六歲就認識了
最近我爸爸給我打了一個電話 最近我爸爸給我打一個電話
我想應該準備很多報告 我想應該準備很多報告書
我會先給你打電話 我先給你打電話
所以請你別擔心 所以請你別擔心吧
所以他決定去爬山 所以他決定去爬山玩
他問他的朋友 他問他的朋友了
你哪裡不舒服 你哪裡不舒服嗎
我相信你可以了解我 我信你可以了解我
還有明天跟後天我得考期末考 還有明天跟後天我得考期末考了
我想要去你家見個面 我想要去你家見面
還沒好嗎 還沒好了嗎
還有很多小吃 有很多小吃
我喜歡日本最有名的油 我喜歡日本的最有名的油
我要的化妝品是資生堂最新的口紅 我要的化妝品是資生堂的最新的口紅
在學校林美美的旁邊的是張愛文 在學校林美美的旁邊的位子是張愛文
她們的關係是很好的朋友 她們的關係很好的朋友
她有課的時候 她有上課的時候
所以我下個月不能來參加你們的婚禮 所以我下個月就不能來參加你們的婚禮
我來台灣差不多五個月了 我來台灣差不多五個月
從歐洲來的白人有差不多全部的那個國家的錢 那裡的從歐洲來的白人有差不多全部的那個國家的錢
暴力多了 暴力了
我沒去過日本 我還沒去過日本
我很冷 我很冷了
所以今天晚上我要回國 所以今天晚我要回國
家人出了事了 家人出了一個事了
我想學好中文跟中國剪紙 我想學好中文跟中國剪
我去國父紀念館學中國剪紙 我去國父紀念館學中國剪
最後下課後他們見面了還一起上捷運 最後下課後他們見面了一起上捷運
因為後天我們考中文 因為後天我們考中文試
我一定要念中文 我一定要念中文書
我們說下個週末一起去高雄觀光 我們說下個禮拜週末一起去高雄觀光
我跑去等公車 我跑路去等公車
不能去真可惜 可是不能去真可惜
得站著 得站
女朋友不太喜歡那種電影可是男朋友哭了 女朋友不太喜歡那種電影可是那男朋友哭了
所以我希望有一個人可以送我回台北去 所以我希望了有一個人可以送我回台北去
從小在日本長大 從小在日本長大了
忽然一輛汽車來了 忽然一輛汽車來
有什麼想學的 有什麼學的
在那個地方我打算走差不多三個小時路 在那個地方我打算走差不多三個小時走路
我決定走最近的路 我決定走去第最近的路
我覺得他是真好的人 我覺得他是真好人
所以我得六點半起床 所以我得六點半起床了
有的人拿著熱狗 有人拿著熱狗
那個山上的風景非常美 那個山上的地方的風景非常美
陽明山是台灣最有名的山 陽明山是台灣的最有名的山
請你看一看你家附近的店可以嗎 請你看一看你家附近可以嗎
再說有黑色的口袋 再說黑色的口袋
聽說你準備開一個慶祝會 聽說你準備開一個祝會
你還記得我嗎 你還記得我
他十六歲 他是十六歲
還有我希望你的身體的問題越來越好一點 還有我希望快到你的身體的問題越來越好一點
我在我的國家已經學了１００個中文字 我在我的國家已經學了１００個的中文字
我很高興我的老師是那位小姐 我高興我的老師是那位小姐
她過來我的旁邊 她過來到我的旁邊
我跟她去最好的電影院 我跟她去最好電影院
我到台灣了 我到了台灣了
夢到了我認識的一個很漂亮的女生 夢到了我認識一個很漂亮的女生
我喜歡那裡山的風景和城市 我喜歡那裡的山的風景和城市
我喜歡這個地方 我喜歡這個地方一點
我替你高興 我替你很高興
我們應該找時間好好地聊聊 我們應該找時間可以好好地聊聊
我希望你的身體快一點好 我希望你的身體快一點好了
旅行的那天我真的走不開 旅行的那天我真的走不開呢
我想自己做好吃的蛋糕和雞排給你吃 我想做自己做好吃的蛋糕和雞排給你吃
我覺得不會說也不懂中文不好 我覺得不會說不懂中文不好
我們一起烤肉 我們一起烤肉了
可是我們剛開始吃的時候突然下大雨了 可是我們剛開始吃飯的時候突然下大雨了
因為我們坐在外面 因為我們坐外面
已經到八點二十分了 已經到八點二十分鐘了
請打電話給李大明先生 請打電話給李大明先先生
可是火車站遠得不得了 可是火車站遠得不得
所以他們五點半搭到火車 所以他們五點半到火車
我問她 我問了她
出去走一走 出旅館去走一走
建國用英文說「謝謝」然後開始往捷運站走 建國用英文說「謝謝」然後開始往捷運站走路
美真說的話一句建國也聽不懂 一句美真說的話建國也聽不懂
建國也聽不懂美真的話 建國也聽不懂美真
第一天美真聽不懂建國的話 第一天美真聽不懂建國
讓他們生氣 聽不懂讓他們生氣
他們在外面的時候 他們外面的時候
我真的不舒服 我真的不舒服了
老闆告訴王大華要幫你點菜 老闆告訴王大華幫你點菜
他平常睡八個小時 他平常睡覺八個小時
你好朋友昨天告訴我你上大學了 你好朋友昨天告訴我你上了大學了
因為他真是很聰明的學生 因為他真是很聰明學生
我現在住宜蘭市 我現在是住宜蘭市
為什麼這樣嚴重 為什麼這樣很嚴重
謝謝你要跟我一起去旅行 謝謝你要跟我一起去行
因為泰國菜是世界上最美味的食物 因為泰國菜是世界上最美味佳餚的食物
老師有一點生氣 老師一點生氣
他們在公車上聊天 他們在公車聊天
得到台中 得到台中了
因為坐了半個鐘頭還沒到我的大學 因為坐它了半個鐘頭還沒到我的大學
王天華的同學都幫忙烤其他的東西 王天華的同學都幫忙烤其他的
我的老闆給我薪水所以我想請你跟我吃飯 我的老闆就給我薪水所以我想請你跟我吃飯
我想八點半在我家見面 我想八點半在我的家見面
他今年夏天去台南爬山 他今年夏天去台南爬山了
可是昨天下午準備好了 可是昨天下午準備了好了
然後回家 然後會回家
他好久沒喝啤酒 他好久沒有喝啤酒
可是我還沒學完這課 可是我沒學完這課
